X,Y,codigo_oaci,nome,municipio,icon_url
-54.0538888888889,-24.5127777777778,SSCR,RUBEN BERTA,MARECHAL CÂNDIDO RONDON,./0.png
-52.6422222222222,-23.6916666666667,SSCT,ENGENHEIRO GASTÃO DE MESQUITA FILHO,CIANORTE,./0.png
-51.9341666666667,-29.4533333333333,SSEE,REGIONAL DO VALE DO TAQUARI,ESTRELA,./0.png
-53.5794444444444,-30.1822222222222,SSEP,SÃO SEPÉ,SÃO SEPÉ,./0.png
-52.2761111111111,-27.66,SSER,ERECHIM,ERECHIM,./0.png
-52.8555555555556,-28.7380555555556,SSEZ,ESPUMOSO,ESPUMOSO,./0.png
-53.0633333333333,-26.0588888888889,SSFB,PAULO ABDALA,FRANCISCO BELTRÃO,./0.png
-40.6283333333333,-7.1,SSFL,JOÃO PEREIRA DOS SANTOS FILHO,FRONTEIRAS,./0.png
-51.5322222222222,-29.2683333333333,SSGA,GARIBALDI,GARIBALDI,./0.png
-48.6122222222222,-25.8805555555556,SSGB,MUNICIPAL DE GUARATUBA,GUARATUBA,./0.png
-53.0438888888889,-24.2197222222222,SSGW,MANOEL RIBAS,GOIOERÊ,./0.png
-54.1880555555556,-24.0797222222222,SSGY,GUAÍRA,GUAÍRA,./0.png
-54.3388888888889,-27.6383333333333,SSHZ,WALTER BÜNDCHEN,HORIZONTINA,./0.png
-54.5952777777778,-20.6038888888889,SSIE,TERUEL IPANEMA ESTÂNCIA,CAMPO GRANDE,./0.png
-53.8463888888889,-28.3686111111111,SSIJ,IJUÍ,IJUÍ,./0.png
-56.5383333333333,-29.1719444444444,SSIQ,ITAQUI,ITAQUI,./0.png
-53.0786111111111,-28.6041666666667,SSIR,IBIRUBÁ,IBIRUBÁ,./0.png
-51.5516666666667,-27.1727777777778,SSJA,SANTA TEREZINHA,JOAÇABA,./0.png
-56.1527777777778,-21.4927777777778,SSJI,JARDIM,JARDIM,./0.png
-53.7433333333333,-29.1530555555556,SSJK,JÚLIO DE CASTILHOS,JÚLIO DE CASTILHOS,./0.png
-54.5247222222222,-20.5055555555556,SSKG,ESTÂNCIA SANTA MARIA,CAMPO GRANDE,./0.png
-50.0369444444444,-29.7636111111111,SSKK,CAPÃO DA CANOA,CAPÃO DA CANOA,./0.png
-52.3569444444444,-24.0025,SSKM,CAMPO MOURÃO,CAMPO MOURÃO,./0.png
-52.9402777777778,-30.0022222222222,SSKS,CACHOEIRA DO SUL,CACHOEIRA DO SUL,./0.png
